,season,team,league,sequenceNumber,savePercentage,goalAgainstAverage,games,timeOnIce,shutouts,goalsAgainst,ties,wins,losses,saves,shotsAgainst,ot,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,gamesStarted,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage
0,20012002,Williams Lake Timberwolves Bntm,PCBHL,138444,0.0,2.89,31,,,,,,,,,,,,,,,,,,,
0,20022003,Williams Lake,Minor-BC,1,,2.7,18,1050:00,1.0,48.0,,,,,,,,,,,,,,,,
0,20022003,Tri-City,WHL,2,,6.0,1,20:00,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,
0,20032004,Tri-City,WHL,1,0.915,2.3771,28,1363:00,1.0,54.0,3.0,8.0,9.0,578.0,632.0,,,,,,,,,,,
0,20042005,Tri-City,WHL,1,0.92,2.34,63,3712:00,8.0,145.0,8.0,24.0,31.0,1665.0,1810.0,,,,,,,,,,,
0,20042005,Canada,WJ18-A,2,,2.65,4,249:00,0.0,11.0,0.0,2.0,2.0,,,,,,,,,,,,,
0,20052006,Tri-City,WHL,1,0.906,2.87,55,3072:00,3.0,147.0,6.0,21.0,25.0,1420.0,1567.0,,,,,,,,,,,
0,20062007,Tri-City,WHL,1,0.917,2.45,46,2722:00,3.0,111.0,1.0,30.0,13.0,1229.0,1340.0,,,,,,,,,,,
0,20062007,Hamilton,AHL,2,0.949,1.53,2,117:00,0.0,3.0,0.0,1.0,1.0,56.0,59.0,,,,,,,,,,,
0,20062007,Canada,WJC-A,3,0.960894,1.14,6,370:00,2.0,7.0,0.0,6.0,0.0,172.0,179.0,,,,,,,,,,,
0,20072008,Montréal Canadiens,National Hockey League,1,0.919657,2.560738,41,2413:22,3.0,103.0,,24.0,12.0,1179.0,1282.0,3.0,253.0,37.0,889.0,39.0,957.0,286.0,40.0,88.46153846153845,94.87179487179486,92.8944618599791
0,20072008,Hamilton,AHL,2,0.896,2.69,10,,1.0,26.0,0.0,6.0,4.0,225.0,251.0,,,,,,,,,,,
0,20082009,Montréal Canadiens,National Hockey League,1,0.905486,2.826459,52,3035:36,1.0,143.0,,23.0,16.0,1370.0,1513.0,10.0,237.0,46.0,1087.0,51.0,1181.0,281.0,49.0,84.34163701067615,90.19607843137256,92.04064352243861
0,20092010,Montréal Canadiens,National Hockey League,1,0.912379,2.773125,41,2358:44,0.0,109.0,,13.0,20.0,1135.0,1244.0,5.0,188.0,34.0,913.0,36.0,991.0,217.0,39.0,86.63594470046083,94.44444444444444,92.12916246215943
0,20102011,Montréal Canadiens,National Hockey League,1,0.923149,2.353706,72,4206:09,8.0,165.0,,38.0,28.0,1982.0,2147.0,6.0,349.0,66.0,1567.0,70.0,1683.0,394.0,70.0,88.57868020304569,94.28571428571428,93.10754604872253
0,20112012,Montréal Canadiens,National Hockey League,1,0.916405,2.434015,65,3944:06,4.0,160.0,,26.0,28.0,1754.0,1914.0,11.0,254.0,61.0,1439.0,67.0,1567.0,280.0,65.0,90.71428571428571,91.04477611940298,91.83152520740268
0,20122013,Montréal Canadiens,National Hockey League,1,0.904715,2.587798,39,2249:11,3.0,97.0,,21.0,13.0,921.0,1018.0,4.0,123.0,37.0,761.0,38.0,827.0,153.0,38.0,80.3921568627451,97.36842105263158,92.01934703748489
0,20132014,Montréal Canadiens,National Hockey League,1,0.926696,2.320771,59,3464:22,6.0,134.0,,34.0,20.0,1694.0,1828.0,5.0,264.0,49.0,1381.0,54.0,1479.0,295.0,59.0,89.49152542372882,90.74074074074075,93.3739012846518
0,20132014,Canada,Olympics,2,,0.59,5,303:00,2.0,3.0,0.0,5.0,0.0,,,,,,,,,,,,,
0,20142015,Montréal Canadiens,National Hockey League,1,0.933436,1.961499,66,3976:33,9.0,130.0,,44.0,16.0,1823.0,1953.0,6.0,244.0,49.0,1530.0,52.0,1624.0,277.0,66.0,88.08664259927798,94.23076923076923,94.21182266009852
0,20152016,Montréal Canadiens,National Hockey League,1,0.934247,2.062053,12,698:20,2.0,24.0,,10.0,2.0,341.0,365.0,0.0,51.0,11.0,279.0,11.0,298.0,56.0,12.0,91.07142857142857,100.0,93.6241610738255
0,20162017,Montréal Canadiens,National Hockey League,1,0.923077,2.232929,62,3708:08,3.0,138.0,,37.0,20.0,1656.0,1794.0,5.0,228.0,38.0,1390.0,44.0,1487.0,263.0,62.0,86.69201520912547,86.36363636363636,93.47679892400808
0,20162017,Canada,WCup,17216,0.957,1.4,5,,,,,,,,,,,,,,,,,,,
0,20172018,Montréal Canadiens,National Hockey League,1,0.900471,3.11075,49,2854:37,1.0,148.0,0.0,16.0,26.0,1339.0,1487.0,7.0,185.0,40.0,1114.0,43.0,1226.0,218.0,48.0,84.86238532110092,93.02325581395348,90.86460032626428
0,20182019,Montréal Canadiens,National Hockey League,1,0.91752,2.48953,66,3880:15,4.0,161.0,0.0,35.0,24.0,1791.0,1952.0,6.0,243.0,55.0,1493.0,58.0,1622.0,272.0,64.0,89.33823529411765,94.82758620689656,92.04685573366214
0,20192020,Montréal Canadiens,National Hockey League,1,0.909,2.7908,58,3439:49,4.0,160.0,0.0,27.0,25.0,1595.0,1755.0,6.0,242.0,43.0,1310.0,45.0,1434.0,276.0,58.0,87.68115942028986,95.55555555555556,91.35285913528591
0,20202021,Montréal Canadiens,National Hockey League,1,0.901,2.6374,25,1478:45,1.0,65.0,0.0,12.0,7.0,594.0,659.0,5.0,104.0,14.0,476.0,15.0,518.0,126.0,25.0,82.53968253968253,93.33333333333333,91.8918918918919
0,20202021,Laval Rocket,AHL,222817,0.867,3.03,1,,,,,,,,,,,,,,,,,,,
0,20212022,Montréal Canadiens,National Hockey League,1,0.878,3.63025,5,297:30,0.0,18.0,0.0,1.0,4.0,130.0,148.0,0.0,21.0,1.0,108.0,2.0,123.0,23.0,5.0,91.30434782608695,50.0,87.8048780487805
